id,topic,subject,comment,multilang
1112,techsupport,Re: Bag of Holding,"Juan, are you sure it's not a Bag of Transmuting? They look very similar, but the Bag of Transmuting will turn gold into lead.","Juan, are you sure it's not a Bag of Transmuting? They look very similar, but the Bag of Transmuting will turn gold into lead."
1113,techsupport,Re: Problems with retro-encabulator,"Susan, the hydrocoptic marzlevanes MUST be fitted properly to the ambifacient lunar waneshaft to prevent side fumbling. Please see page 42 of the manual for an illustration of proper fitment. Also, as mentioned on page 65, after the 24-hour break-in period, you will probably want to re-adjust the marzlevanes for optimum performance. Remember, our standard warranty includes one complimentary service call in the first week to resolve setup issues. If you continue to have trouble, don't hesitate to use it! Our technician will certainly be able to diagnose side-fumbling issues, and, should your encabulator prove defective (it does rarely happen) will install a replacement.","Susan, the hydrocoptic marzlevanes MUST be fitted properly to the ambifacient lunar waneshaft to prevent side fumbling. Please see page 42 of the manual for an illustration of proper fitment. Also, as mentioned on page 65, after the 24-hour break-in period, you will probably want to re-adjust the marzlevanes for optimum performance. Remember, our standard warranty includes one complimentary service call in the first week to resolve setup issues. If you continue to have trouble, don't hesitate to use it! Our technician will certainly be able to diagnose side-fumbling issues, and, should your encabulator prove defective (it does rarely happen) will install a replacement."
1114,techsupport,Re: Problems with retro-encabulator,Have you tried turning it off and back on again? The encabulator runs a self-calibration at each power-up that may help reduce side fumbling.,"Haben Sie versucht, es aus- und wieder einzuschalten? Der Encabulator führt bei jedem Einschalten eine Selbstkalibrierung durch, um das seitliche Fummeln zu verringern."
1115,fulfillment,Re: Wrong items again,"Ron, you're quite right: it is none of your business! The terms I used are quite mild considering the frustration I've had over the last few months. If they don't want to be called names, perhaps they should get their act together!","Ron, you're quite right: it is none of your business! The terms I used are quite mild considering the frustration I've had over the last few months. If they don't want to be called names, perhaps they should get their act together!"
1116,techsupport,Re: Problems with retro-encabulator,"Roy, thanks for the suggestion. It did help a little, but did not entirely eliminate the issue.","Рой, спасибо за предложение. Это немного помогло, но не полностью устранило проблему."
1117,fulfillment,Re: Wrong items again,"Jake, I'm very sorry that you've had this problem for so long. Our systems are supposed to notice these kinds of patterns and flag them for us to review. Obviously they failed to do so in your case (not giving excuses, just offering an explanation). Anyway, I've given your account VIP status which means every order you place will receive additional review to make sure it is filled correctly Also, you will receive free expedited shipping for all your future orders. I've overnighted you the correct items from your most recent order. - James","Jake, I'm very sorry that you've had this problem for so long. Our systems are supposed to notice these kinds of patterns and flag them for us to review. Obviously they failed to do so in your case (not giving excuses, just offering an explanation). Anyway, I've given your account VIP status which means every order you place will receive additional review to make sure it is filled correctly Also, you will receive free expedited shipping for all your future orders. I've overnighted you the correct items from your most recent order. - James"
1118,productinfo,When are the new models coming out?,"I am in need of some doohickeys in the near future. If I remember correctly you refresh this product every couple of years and they are about due. Are you planning to introduce new doohickey models? If so, what are the improvements?","I am in need of some doohickeys in the near future. If I remember correctly you refresh this product every couple of years and they are about due. Are you planning to introduce new doohickey models? If so, what are the improvements?"
1119,techsupport,Re: Problems with retro-encabulator,"Thanks. One of the marzelvanes was installed backward, so it's my fault! A suggestion: maybe the vanes should be designed so that this isn't possible.","Grazie. Una delle marzelvanes è stata installata all'indietro, quindi è colpa mia! Un suggerimento: forse le palette dovrebbero essere progettate in modo che ciò non sia possibile."
1120,fulfillment,Re: Wrong items again,"That's all well and good for ME, and I do appreciate it, but what about others who are having problems getting what they ordered? Will your ""systems"" be fixed to find their problems? This is what happens when you trust your computers too much.","That's all well and good for ME, and I do appreciate it, but what about others who are having problems getting what they ordered? Will your ""systems"" be fixed to find their problems? This is what happens when you trust your computers too much."
1121,suggestion,Gizmo colors,"Hi, have you ever considered making gizmos in colors other than chartreuse and magenta? I think gray or black would be useful, particularly in a matte finish. Your gizmos are only one small part of our contraption, which has a rather sedate design, and they really clash. We keep using them because they're the most reliable we've found, but our customers keep asking why they're like that! We considered repainting them, but that's a LOT of work considering the intricacy of their design.","Hej, har du nogensinde overvejet at lave gizmos i andre farver end chartreuse og magenta? Jeg tror, ​​at gråt eller sort ville være nyttigt, især i en mat finish. Dine gizmos er kun en lille del af vores kontrast, som har et ret sedat design, og de kolliderer virkelig. Vi bruger dem fortsat, fordi de er de mest pålidelige, vi har fundet, men vores kunder spørger stadig, hvorfor de er sådan! Vi overvejede at male dem igen, men det er MEGET arbejde i betragtning af det komplicerede ved deres design."
